category, skill,,
Lang,C++,,
Lang,C#,,
Lang,CUDA,,
Lang,Python,,
Lang,PyTorch,,
Lang,JAX,,
Lang,Numba,,
Lang,CuPy,,
Lang,Java,,
Lang,RUST,,
Lang,ROS,,
Lang,ROOT,,
Lang,Geant4,,
Lang,OpenFoam,,
Lang,Mathematica,,
Lang,MATLAB,,
Lang,R,,
Lang,Fortran,,
Lang,HTML,,
Lang,CSS,,
Lang,JS,,
Lang,LaTeX,,
Lang,HLSL,,
Lang,Bash,,
Build,VSCode,,
Build,Visual Studio,,
Build,Jupyter,,
Build,Make,,
Build,CMake,,
Build,Gradle,,
Build,npm,,
Build,Git,,
Build,GitHub,,
Build,GitLab,,
Deploy,Docker,,
Deploy,Kubernetes,,
Deploy,Redis,,
Deploy,Flask/Dash,,
Deploy,WASM,,
Linux,Ubuntu,,
Linux,WSL,,
Linux,Debian/RHEL,,
Linux,"HyperV etc.",,
World,Unity,,
World,Substance,,
World,Meshroom,,
World,Blender,,
CAD,KLayout,,
CAD,Solidworks,,
CAD,Fusion,,
CAD,Revit,,
2D,GIMP,,
2D,Krita,,
2D,Inkscape,,
2D,DaVinci Resolve,,
Music,FL Studio,,
Music,Ableton Live Lite,,
Music,MuseScore,,
Music,Kontakt,,
Music,Reaktor,,
Music,Piano,,
Report,Word,,
Report,Excel,,
Report,PowerPoint,,
Report,R Markdown,,
Natl Lang,English,5,Native Proficiency in
Natl Lang,French,2,Limited Working Proficiency in 
Natl Lang,Telugu (spoken),5,Native Proficiency in 
Interests,"Deep Learning Architecture, SciML",,
Interests,"World Models, Generative Modeling",,
Interests,"Self-Supervised & Implicit Reps.",,
Interests,"Deep-Compression Autoencoders",,
Interests,"Inverse Problems, Imaging, Raytracing",,
Interests,"CFD, MCMC Physics, Nanotechnology",,
Interests,"Procedural Game Dev, Agents, NLP",,
Interests,"Photogrammetry, CAD, and BIM",,
Interests,"Music Scoring, Production, Piano",,
Interests,"Classical Literature and VNs",,
